director,image,journalist_count,journalist_score,movie_rate,netizen_count,netizen_rate,opening_date,playing_time,scope,title
로렌스 파울러,https://movie-phinf.pstatic.net/20220415_31/16499906477349OguT_JPEG/movie_image.jpg?type=m99_141_2,1,4.0,15세 관람가,5,7.4,2022-05-12,88,"공포,스릴러",잭 인 더 박스
진재운,https://movie-phinf.pstatic.net/20220425_170/1650854758182EFR8M_JPEG/movie_image.jpg?type=m99_141_2,,,전체 관람가,0,0.0,2022-05-12,93,다큐멘터리,"허황옥 3일, 잃어버린 2천 년의 기억"
"마크 J. 프랜시스,맥스 퓨",https://movie-phinf.pstatic.net/20220513_236/1652407698497ufewr_JPEG/movie_image.jpg?type=m99_141_2,2,5.5,전체 관람가,15,9.33,2022-05-12,94,다큐멘터리,나를 만나는 길
자크 오디아르,https://movie-phinf.pstatic.net/20220412_154/1649728583099XCGEh_JPEG/movie_image.jpg?type=m99_141_2,4,7.0,청소년 관람불가,12,8.0,2022-05-12,105,"드라마,멜로/로맨스","파리, 13구"
다비드 빅토리,https://movie-phinf.pstatic.net/20220419_232/1650360590317O6PhK_JPEG/movie_image.jpg?type=m99_141_2,1,5.0,청소년 관람불가,3,7.0,2022-05-12,96,스릴러,크로스 더 라인
필리다 로이드,https://movie-phinf.pstatic.net/20220428_232/1651121723011VWgy8_JPEG/movie_image.jpg?type=m99_141_2,,,15세 관람가,4,7.25,2022-05-12,98,드라마,허셀프
김현우,https://movie-phinf.pstatic.net/20220510_74/1652150535220SaXYc_JPEG/movie_image.jpg?type=m99_141_2,,,청소년 관람불가,11,8.91,2022-05-12,72,"스릴러,액션",데드캠핑 더라이브
존 매든,https://movie-phinf.pstatic.net/20220513_127/16524071807254VE3P_JPEG/movie_image.jpg?type=m99_141_2,,,12세 관람가,90,7.21,2022-05-11,127,"드라마,전쟁",민스미트 작전
최종학,https://movie-phinf.pstatic.net/20220411_297/1649645875446Wzycj_JPEG/movie_image.jpg?type=m99_141_2,1,4.0,전체 관람가,105,7.09,2022-05-11,107,가족,어부바
아이리스 심,https://movie-phinf.pstatic.net/20220511_91/1652245300882j0g8o_JPEG/movie_image.jpg?type=m99_141_2,1,4.0,12세 관람가,55,5.44,2022-05-11,83,스릴러,엄마
자코 아키후미,https://movie-phinf.pstatic.net/20220405_51/1649144698523czjrT_JPEG/movie_image.jpg?type=m99_141_2,3,5.67,전체 관람가,46,6.83,2022-05-05,59,"애니메이션,가족,코미디",극장판 엉덩이 탐정: 수플레 섬의 비밀
사토 유이치,https://movie-phinf.pstatic.net/20220303_167/1646294462531KRxju_JPEG/movie_image.jpg?type=m99_141_2,2,6.0,15세 관람가,3,7.67,2022-05-05,111,"판타지,스릴러",카사네 : 빼앗는 얼굴
최영민,https://movie-phinf.pstatic.net/20220425_136/1650877572992bhbVe_JPEG/movie_image.jpg?type=m99_141_2,1,5.0,전체 관람가,13,9.31,2022-05-05,99,액션,액션동자
샘 레이미,https://movie-phinf.pstatic.net/20220504_33/165164173504831gKe_JPEG/movie_image.jpg?type=m99_141_2,10,6.8,12세 관람가,11673,7.28,2022-05-04,126,"액션,판타지,모험",닥터 스트레인지: 대혼돈의 멀티버스
